Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Cse Engineering,Language Fundamentals, ,Which one is a valid declaration of a boolean?,"boolean b1 = 0,","boolean b2 = 'false',","boolean b3 = false,","boolean b4 = Boolean.false(),","boolean b5 = no,",C," A boolean can only be assigned the literal <i class=""java-code"">true</i> or <i class=""java-code"">false</i>. "
Cse Engineering,Language Fundamentals, ,"Which three are valid declarations of a float?float f1 = -343,float f2 = 3.14,float f3 = 0x12345,float f4 = 42e7,float f5 = 2001.0D,float f6 = 2.81F,","1, 2, 4","2, 3, 5","1, 3, 6","2, 4, 6", ,C," <p>(1) and (3) are integer literals (32 bits), and integers can be legally assigned to <i class=""java-code"">float</i>s (also 32 bits). (6) is correct because (F) is appended to the literal, declaring it as a <i class=""java-code"">float</i> rather than a <i class=""java-code"">double</i> (the default for floating point literals).</p><p>(2), (4),and (5) are all doubles.</p> "
Cse Engineering,Language Fundamentals, ,Which is a valid declarations of a String?,"String s1 = null,","String s2 = 'null',","String s3 = (String) 'abc',","String s4 = (String) '\ufeed',", ,A," <p>Option A sets the String reference to <i class=""java-code"">null</i>.</p><p>Option B is wrong because <i class=""java-code"">null</i> cannot be in single quotes.</p><p>Option C is wrong because there are multiple characters between the single quotes ('abc').</p><p>Option D is wrong because you can't cast a <i class=""java-code"">char</i> (primitive) to a <i class=""java-code"">String</i> (object).</p> "
Cse Engineering,Language Fundamentals, ,What is the numerical range of a char?,-128 to 127,-(215) to (215) - 1,0 to 32767,0 to 65535, ,D," A <i class=""java-code"">char</i> is really a 16-bit integer behind the scenes, so it supports 2<sup>16</sup> (from 0 to 65535) values. "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class PassA {    public static void main(String [] args)     {        PassA p = new PassA(),        p.start(),    }    void start()     {        long [] a1 = {3,4,5},        long [] a2 = fix(a1),        System.out.print(a1[0] + a1[1] + a1[2] + "" ""),        System.out.println(a2[0] + a2[1] + a2[2]),    }    long [] fix(long [] a3)     {        a3[1] = 7,        return a3,    }}",12 15,15 15,3 4 5 3 7 5,3 7 5 3 7 5, ,B," <p>Output: 15 15</p><p>The reference variables <i class=""java-code"">a1</i> and <i class=""java-code"">a3</i> refer to the same long array object. When the <i class=""java-code"">[1]</i> element is updated in the <i class=""java-code"">fix()</i> method, it is updating the array referred to by <i class=""java-code"">a1</i>. The reference variable <i class=""java-code"">a2</i> refers to the same array object.</p><p>So Output: 3+7+5+"" ""3+7+5</p><p>Output: 15 15 Because Numeric values will be added </p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Test {    public static void main(String [] args)     {        Test p = new Test(),        p.start(),    }    void start()     {        boolean b1 = false,        boolean b2 = fix(b1),        System.out.println(b1 + "" "" + b2),    }    boolean fix(boolean b1)     {        b1 = true,        return b1,    }}",true true,false true,true false,false false, ,B," <p>The boolean <i class=""java-code"">b1</i> in the <i class=""java-code"">fix()</i> method is a different boolean than the <i class=""java-code"">b1</i> in the <i class=""java-code"">start()</i> method. The <i class=""java-code"">b1</i> in the <i class=""java-code"">start()</i> method is not updated by the <i class=""java-code"">fix()</i> method.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class PassS {    public static void main(String [] args)     {        PassS p = new PassS(),        p.start(),    }    void start()     {        String s1 = ""slip"",        String s2 = fix(s1),        System.out.println(s1 + "" "" + s2),    }    String fix(String s1)     {        s1 = s1 + ""stream"",        System.out.print(s1 + "" ""),        return ""stream"",    }}",slip stream,slipstream stream,stream slip stream,slipstream slip stream, ,D," <p>When the <i class=""java-code"">fix()</i> method is first entered, <i class=""java-code"">start()</i>'s s1 and <i class=""java-code"">fix()</i>'s <i class=""java-code"">s1</i> reference variables both refer to the same String object (with a value of ""slip""). <i class=""java-code"">Fix()</i>'s <i class=""java-code"">s1</i> is reassigned to a new object that is created when the concatenation occurs (this second String object has a value of ""slipstream""). When the program returns to <i class=""java-code"">start()</i>, another <i class=""java-code"">String</i> object is created, referred to by <i class=""java-code"">s2</i> and with a value of ""stream"".</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class BitShift {    public static void main(String [] args)     {        int x = 0x80000000,        System.out.print(x + "" and  ""),        x = x >>> 31,        System.out.println(x),    }}",-2147483648 and 1,0x80000000 and 0x00000001,-2147483648 and -1,1 and -2147483648, ,A," <p>Option A is correct. The <i class=""java-code"">&gt,&gt,&gt,</i> operator moves all bits to the right, zero filling the left bits. The bit transformation looks like this:</p><p>Before: <i class=""java-code"">1000 0000 0000 0000 0000 0000 0000 0000</i></p><p>After: <i class=""java-code"">0000 0000 0000 0000 0000 0000 0000 0001</i></p><p>Option C is incorrect because the <i class=""java-code"">&gt,&gt,&gt,</i> operator zero fills the left bits, which in this case changes the sign of <i class=""java-code"">x</i>, as shown.</p><p>Option B is incorrect because the output method <i class=""java-code"">print()</i> always displays integers in base 10.</p><p>Option D is incorrect because this is the reverse order of the two output numbers.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Equals {    public static void main(String [] args)     {        int x = 100,        double y = 100.1,        boolean b = (x = y), /* Line 7 */        System.out.println(b),    }}",TRUE,FALSE,Compilation fails,An exception is thrown at runtime, ,C," <p>The code will not compile because in line 7, the line will work only if we use <i class=""java-code"">(x==y)</i> in the line. The <i class=""java-code"">==</i> operator compares values to produce a boolean, whereas the <i class=""java-code"">=</i> operator assigns a value to variables.</p><p>Option A, B, and D are incorrect because the code does not get as far as compiling. If we corrected this code, the output would be false.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Test {    public static void main(String [] args)     {        int x=20,        String sup = (x < 15) ? ""small"" : (x < 22)? ""tiny"" : ""huge"",        System.out.println(sup),    }}",small,tiny,huge,Compilation fails, ,B," <p>This is an example of a nested ternary operator. The second evaluation <i class=""java-code"">(x &lt, 22)</i> is <i class=""java-code"">true</i>, so the ""<i class=""java-code"">tiny</i>"" value is assigned to <i class=""java-code"">sup</i>.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Test {    public static void main(String [] args)     {        int x= 0,        int y= 0,        for (int z = 0, z < 5, z++)         {            if (( ++x > 2 ) && (++y > 2))             {                x++,            }        }        System.out.println(x + "" "" + y),    }}",5 2,5 3,6 3,6 4, ,C," <p>In the first two iterations <i class=""java-code"">x</i> is incremented once and <i class=""java-code"">y</i> is not because of the short circuit <i class=""java-code"">&amp,&amp,</i> operator. In the third and forth iterations <i class=""java-code"">x</i> and <i class=""java-code"">y</i> are each incremented, and in the fifth iteration <i class=""java-code"">x</i> is doubly incremented and <i class=""java-code"">y</i> is incremented.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Test {    public static void main(String [] args)     {        int x= 0,        int y= 0,        for (int z = 0, z < 5, z++)         {            if (( ++x > 2 ) || (++y > 2))             {                x++,            }        }    System.out.println(x + "" "" + y),    }}",5 3,8 2,8 3,8 5, ,B," <p>The first two iterations of the <i class=""java-code"">for</i> loop both <i class=""java-code"">x</i> and <i class=""java-code"">y</i> are incremented. On the third iteration <i class=""java-code"">x</i> is incremented, and for the first time becomes greater than 2. The short circuit or operator <i class=""java-code"">||</i> keeps <i class=""java-code"">y</i> from ever being incremented again and <i class=""java-code"">x</i> is incremented twice on each of the last three iterations.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Bitwise {    public static void main(String [] args)     {        int x = 11 & 9,        int y = x ^ 3,        System.out.println( y | 12 ),    }}",0,7,8,14, ,D," <p>The <i class=""java-code"">&amp,</i> operator produces a 1 bit when both bits are 1. The result of the <i class=""java-code"">&amp,</i> operation is 9. The <i class=""java-code"">^</i> operator produces a 1 bit when exactly one bit is 1, the result of this operation is 10. The <i class=""java-code"">|</i> operator produces a 1 bit when at least one bit is 1, the result of this operation is 14.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class SSBool {    public static void main(String [] args)     {        boolean b1 = true,        boolean b2 = false,        boolean b3 = true,        if ( b1 & b2 | b2 & b3 | b2 ) /* Line 8 */            System.out.print(""ok ""),        if ( b1 & b2 | b2 & b3 | b2 | b1 ) /*Line 10*/            System.out.println(""dokey""),    }}",ok,dokey,ok dokey,No output is produced,Compilation error,B," <p>The <i class=""java-code"">&amp,</i> operator has a higher precedence than the <i class=""java-code"">|</i> operator so that on line 8 <i class=""java-code"">b1</i> and <i class=""java-code"">b2</i> are evaluated together as are <i class=""java-code"">b2 &amp, b3</i>. The final b1 in line 10 is what causes that if test to be true. Hence it prints ""<i class=""java-code"">dokey</i>"".</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class SC2 {    public static void main(String [] args)     {        SC2 s = new SC2(),        s.start(),    }    void start()     {        int a = 3,        int b = 4,        System.out.print("" "" + 7 + 2 + "" ""),        System.out.print(a + b),        System.out.print("" "" + a + b + "" ""),        System.out.print(foo() + a + b + "" ""),        System.out.println(a + b + foo()),    }    String foo()     {        return ""foo"",    }}",9 7 7 foo 7 7foo,72 34 34 foo34 34foo,9 7 7 foo34 34foo,72 7 34 foo34 7foo, ,D," <p>Because all of these expressions use the <i class=""java-code"">+</i> operator, there is no precedence to worry about and all of the expressions will be evaluated from left to right. If either operand being evaluated is a String, the <i class=""java-code"">+</i> operator will concatenate the two operands, if both operands are numeric, the <i class=""java-code"">+</i> operator will add the two operands.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Test {    static int s,    public static void main(String [] args)     {        Test p = new Test(),        p.start(),        System.out.println(s),    }    void start()     {        int x = 7,        twice(x),        System.out.print(x + "" ""),    }    void twice(int x)     {        x = x*2,        s = x,    }}",7 7,7 14,14 0,14 14, ,B," <p>The <i class=""java-code"">int x</i> in the <i class=""java-code"">twice()</i> method is not the same <i class=""java-code"">int x</i> as in the <i class=""java-code"">start()</i> method. <i class=""java-code"">Start()</i>'s <i class=""java-code"">x</i> is not affected by the <i class=""java-code"">twice()</i> method. The instance variable <i class=""java-code"">s</i> is updated by <i class=""java-code"">twice()</i>'s <i class=""java-code"">x</i>, which is 14.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class Two {    byte x,}class PassO {    public static void main(String [] args)     {        PassO p = new PassO(),        p.start(),    }    void start()     {        Two t = new Two(),        System.out.print(t.x + "" ""),        Two t2 = fix(t),        System.out.println(t.x + "" "" + t2.x),    }    Two fix(Two tt)     {        tt.x = 42,        return tt,    }}",null null 42,0 0 42,0 42 42,0 0 0, ,C," <p>In the <i class=""java-code"">fix()</i> method, the reference variable <i class=""java-code"">tt</i> refers to the same object (class <i class=""java-code"">Two</i>) as the <i class=""java-code"">t</i> reference variable. Updating <i class=""java-code"">tt.x</i> in the <i class=""java-code"">fix()</i> method updates <i class=""java-code"">t.x</i> (they are one in the same object). Remember also that the instance variable <i class=""java-code"">x</i> in the <i class=""java-code"">Two</i> class is initialized to 0.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?class BoolArray {    boolean [] b = new boolean[3],    int count = 0,    void set(boolean [] x, int i)     {        x[i] = true,        ++count,    }    public static void main(String [] args)     {        BoolArray ba = new BoolArray(),        ba.set(ba.b, 0),        ba.set(ba.b, 2),        ba.test(),    }    void test()     {        if ( b[0] && b[1] | b[2] )            count++,        if ( b[1] && b[(++count - 2)] )            count += 7,        System.out.println(""count = "" + count),    }}",count = 0,count = 2,count = 3,count = 4, ,C," <p>The reference variables <i class=""java-code"">b</i> and <i class=""java-code"">x</i> both refer to the same boolean array. <i class=""java-code"">count</i> is incremented for each call to the <i class=""java-code"">set()</i> method, and once again when the first if test is <i class=""java-code"">true</i>. Because of the <i class=""java-code"">&amp,&amp,</i> short circuit operator, <i class=""java-code"">count</i> is not incremented during the second <i class=""java-code"">if</i> test.</p> "
Cse Engineering,Operators and Assignments, ,"What will be the output of the program?public class Test {     public static void leftshift(int i, int j)     {        i <<= j,     }     public static void main(String args[])     {        int i = 4, j = 2,         leftshift(i, j),         System.out.printIn(i),     } }",2,4,8,16, ,B," <p> Java only ever passes arguments to a method by value (i.e. a copy of the variable) and never by reference. Therefore the value of the variable <i class=""java-code"">i</i> remains unchanged in the <i class=""java-code"">main</i> method.</p><p>If you are clever you will spot that 16 is 4 multiplied by 2 twice, (4 * 2 * 2) = 16. If you had 16 left shifted by three bits then 16 * 2 * 2 * 2 = 128. If you had 128 right shifted by 2 bits then 128 / 2 / 2 = 32. Keeping these points in mind, you don't have to go converting to binary to do the left and right bit shifts. </p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class Foo {      public static void main(String[] args)     {        try         {             return,         }         finally         {            System.out.println( ""Finally"" ),         }     } }",Finally,Compilation fails.,The code runs with no output.,An exception is thrown at runtime., ,A," If you put a finally block after a try and its associated catch blocks, then once execution enters the try block, the code in that finally block will definitely be executed except in the following circumstances:<ol class=""java-ol-1234""><li>An exception arising in the finally block itself.</li><li>The death of the thread.</li><li>The use of <i class=""java-code"">System.exit()</i></li><li>Turning off the power to the CPU.</li></ol><p>I suppose the last three could be classified as VM shutdown.</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?try {     int x = 0,     int y = 5 / x, } catch (Exception e) {    System.out.println(""Exception""), } catch (ArithmeticException ae) {    System.out.println("" Arithmetic Exception""), } System.out.println(""finished""),",finished,Exception,Compilation fails.,Arithmetic Exception, ,C," <p>Compilation fails because <i class=""java-code"">ArithmeticException</i> has already been caught. <i class=""java-code"">ArithmeticException</i> is a subclass of <i class=""java-code"">java.lang.Exception</i>, by time the <i class=""java-code"">ArithmeticException</i> has been specified it has already been caught by the <i class=""java-code"">Exception</i> class.</p><p>If <i class=""java-code"">ArithmeticException</i> appears before <i class=""java-code"">Exception</i>, then the file will compile. When catching exceptions the more specific exceptions must be listed before the more general (the subclasses must be caught before the superclasses).</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class X {      public static void main(String [] args)     {        try         {            badMethod(),              System.out.print(""A""),         }          catch (Exception ex)         {            System.out.print(""B""),          }         finally         {            System.out.print(""C""),         }         System.out.print(""D""),     }      public static void badMethod()     {        throw new Error(), /* Line 22 */    } }",ABCD,Compilation fails.,C is printed before exiting with an error message.,BC is printed before exiting with an error message., ,C," <p><i class=""java-code"">Error</i> is thrown but not recognised line(22) because the only catch attempts to catch an <i class=""java-code"">Exception</i> and <i class=""java-code"">Exception</i> is not a superclass of <i class=""java-code"">Error</i>. Therefore only the code in the <i class=""java-code"">finally</i> statement can be run before exiting with a runtime error (Exception in thread ""main"" <i class=""java-code"">java.lang.Error</i>). </p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class X {      public static void main(String [] args)     {        try         {            badMethod(),              System.out.print(""A""),          }         catch (RuntimeException ex) /* Line 10 */        {             System.out.print(""B""),         }         catch (Exception ex1)         {             System.out.print(""C""),         }         finally         {            System.out.print(""D""),         }         System.out.print(""E""),     }     public static void badMethod()     {         throw new RuntimeException(),     } }",BD,BCD,BDE,BCDE, ,C, <p>A Run time exception is thrown and caught in the catch statement on line 10. All the code after the finally statement is run because the exception has been caught.</p> 
Cse Engineering,Exceptions, ,"What will be the output of the program?public class RTExcept {    public static void throwit ()     {        System.out.print(""throwit ""),        throw new RuntimeException(),    }    public static void main(String [] args)     {        try         {            System.out.print(""hello ""),            throwit(),        }        catch (Exception re )         {            System.out.print(""caught ""),        }        finally         {            System.out.print(""finally ""),        }        System.out.println(""after ""),    }}",hello throwit caught,Compilation fails,hello throwit RuntimeException caught after,hello throwit caught finally after, ,D," <p>The <i class=""java-code"">main()</i> method properly catches and handles the <i class=""java-code"">RuntimeException</i> in the catch block, finally runs (as it always does), and then the code returns to normal.</p><p>A, B and C are incorrect based on the program logic described above. Remember that properly handled exceptions do not cause the program to stop executing.</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class Test {      public static void aMethod() throws Exception     {        try /* Line 5 */        {            throw new Exception(), /* Line 7 */        }         finally /* Line 9 */        {            System.out.print(""finally ""), /* Line 11 */        }     }     public static void main(String args[])     {        try         {            aMethod(),          }         catch (Exception e) /* Line 20 */        {            System.out.print(""exception ""),         }         System.out.print(""finished""), /* Line 24 */    } }",finally,exception finished,finally exception finished,Compilation fails, ,C," <p>This is what happens: </p><p></p><p>(1) The execution of the <i class=""java-code"">try</i> block (line 5) completes abruptly because of the <i class=""java-code"">throw</i> statement (line 7).</p><p>(2) The exception cannot be assigned to the parameter of any catch clause of the <i class=""java-code"">try</i> statement therefore the <i class=""java-code"">finally</i> block is executed (line 9) and ""finally"" is output (line 11).</p><p>(3) The <i class=""java-code"">finally</i> block completes normally, and then the <i class=""java-code"">try</i> statement completes abruptly because of the <i class=""java-code"">throw</i> statement (line 7).</p><p>(4) The exception is propagated up the call stack and is caught by the catch in the main method (line 20). This prints ""exception"".</p><p>(5) Lastly program execution continues, because the exception has been caught, and ""finished"" is output (line 24).</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class X {     public static void main(String [] args)     {        try         {            badMethod(),              System.out.print(""A""),         }          catch (Exception ex)         {            System.out.print(""B""),         }          finally         {            System.out.print(""C""),         }          System.out.print(""D""),     }      public static void badMethod() {} } ",AC,BC,ACD,ABCD, ,C," <p>There is no exception thrown, so all the code with the exception of the catch statement block is run.</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class X {      public static void main(String [] args)     {        try         {            badMethod(), /* Line 7 */            System.out.print(""A""),         }         catch (Exception ex) /* Line 10 */        {            System.out.print(""B""), /* Line 12 */        }         finally /* Line 14 */        {            System.out.print(""C""), /* Line 16 */        }          System.out.print(""D""), /* Line 18 */    }     public static void badMethod()     {        throw new RuntimeException(),     } }",AB,BC,ABC,BCD, ,D," <p>(1) A <i class=""java-code"">RuntimeException</i> is thrown, this is a subclass of exception.</p><p>(2) The exception causes the <i class=""java-code"">try</i> to complete abruptly (line 7) therefore line 8 is never executed.</p><p>(3) The exception is caught (line 10) and ""B"" is output (line 12)</p><p>(4) The <i class=""java-code"">finally</i> block (line 14) is always executed and ""C"" is output (line 16).</p><p>(5) The exception was caught, so the program continues with line 18 and outputs ""D"".</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?public class MyProgram {    public static void main(String args[])    {        try         {            System.out.print(""Hello world ""),        }        finally         {            System.out.println(""Finally executing ""),        }    }}",Nothing. The program will not compile because no exceptions are specified.,Nothing. The program will not compile because no catch clauses are specified.,Hello world.,Hello world Finally executing, ,D," <p>Finally clauses are always executed. The program will first execute the <i class=""java-code"">try</i> block, printing Hello world, and will then execute the finally block, printing Finally executing.</p><p>Option A, B, and C are incorrect based on the program logic described above. Remember that either a catch or a finally statement must follow a try. Since the finally is present, the catch is not required.</p> "
Cse Engineering,Exceptions, ,"What will be the output of the program?class Exc0 extends Exception { } class Exc1 extends Exc0 { } /* Line 2 */public class Test {      public static void main(String args[])     {         try         {              throw new Exc1(), /* Line 9 */        }         catch (Exc0 e0) /* Line 11 */        {            System.out.println(""Ex0 caught""),         }         catch (Exception e)         {            System.out.println(""exception caught""),          }     } }",Ex0 caught,exception caught,Compilation fails because of an error at line 2.,Compilation fails because of an error at line 9., ,A," <p>An exception <i class=""java-code"">Exc1</i> is thrown and is caught by the catch statement on line 11. The code is executed in this block. There is no finally block of code to execute.</p> "
Cse Engineering,Inner Classes, ,Which is true about an anonymous inner class?,It can extend exactly one class and implement exactly one interface.,It can extend exactly one class and can implement multiple interfaces.,It can extend exactly one class or implement exactly one interface.,It can implement multiple interfaces regardless of whether it also extends a class., ,C," <p>Option C is correct because the syntax of an anonymous inner class allows for only one named type after the new, and that type must be either a single interface (in which case the anonymous class implements that one interface) or a single class (in which case the anonymous class extends that one class).</p><p>Option A, B, D, and E are all incorrect because they don't follow the syntax rules described in the response for answer Option C.</p> "
Cse Engineering,Inner Classes, ,"class Boo {    Boo(String s) { }    Boo() { }}class Bar extends Boo {    Bar() { }    Bar(String s) {super(s),}    void zoo()     {    // insert code here    }}which one create an anonymous inner class from within class Bar?","Boo f = new Boo(24) { },","Boo f = new Bar() { },","Bar f = new Boo(String s) { },","Boo f = new Boo.Bar(String s) { },", ,B," <p>Option B is correct because anonymous inner classes are no different from any other class when it comes to polymorphism. That means you are always allowed to declare a reference variable of the superclass type and have that reference variable refer to an instance of a subclass type, which in this case is an anonymous subclass of <i class=""java-code"">Bar</i>. Since Bar is a subclass of <i class=""Java-code"">Boo</i>, it all works.</p><p>Option A is incorrect because it passes an int to the <i class=""Java-code"">Boo</i> constructor, and there is no matching constructor in the <i class=""Java-code"">Boo</i> class.</p><p>Option C is incorrect because it violates the rules of polymorphismâyou cannot refer to a superclass type using a reference variable declared as the subclass type. The superclass is not guaranteed to have everything the subclass has.</p><p>Option D uses incorrect syntax.</p> "
