Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Technical Drawing,Orthographic Projection, ,"This line pattern is composed of three dashes, one long dash on each end with a short dash in the middle:",Object,Hidden,Center,Phantom, ,C," No answer description available for this question. <a href=""discussion-73"">Let us discuss</a>. "
Technical Drawing,Orthographic Projection, ,This is the plane upon which the top view is projected:,Horizontal,Frontal,Profile,Base, ,A," No answer description available for this question. <a href=""discussion-71"">Let us discuss</a>. "
Technical Drawing,Orthographic Projection, ,An advantage of this type of view is that each view shows the object all the way through as if it were transparent:,Planar,Horizontal,Auxiliary,Orthographic, ,D," No answer description available for this question. <a href=""discussion-72"">Let us discuss</a>. "
Technical Drawing,Orthographic Projection, ,This type of surface is tipped to all principal planes of projection and does not appear true size in any standard view:,Foreshortened,Parallel,Orthographic,Oblique, ,D," No answer description available for this question. <a href=""discussion-75"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,This type of section is limited by a break line:,Removed section,Revolved section,Broken-out section,Half section, ,C," No answer description available for this question. <a href=""discussion-116"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,Drafters should use a ________ in a section view of a mechanical part that includes the cylindrical view of a threaded hole.,Center line,Hatch line,Poly line,Dimension line, ,A," No answer description available for this question. <a href=""discussion-618"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,The section view drawing in which one fourth of an object has been marked for removal is known as a ________ section.,full,half,quarter,none of the above, ,B," No answer description available for this question. <a href=""discussion-615"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,"In offset sections, offsets or bends in the cutting plane are all:",90 degrees,180 degrees,Either 90 or 180 degrees,"30, 60, or 90 degrees", ,A," No answer description available for this question. <a href=""discussion-118"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,When filling an area with a hatch pattern in AutoCAD the drafter needs to be able to ________.,see the entire bounding area to hatch,set Ortho on,turn ISO grid off,set the layer to Defpoints, ,A," No answer description available for this question. <a href=""discussion-620"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,To avoid having to dimension to a hidden feature the drafter can utilize a ________ section.,whole,half,broken out,all of the above, ,D," No answer description available for this question. <a href=""discussion-623"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,Objects that are symmetric can be shown effectively using this type of section:,Quarter section,Half section,Full section,Symmetric section, ,B," No answer description available for this question. <a href=""discussion-114"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,This type of section is not in direct projection from the view containing the cutting plane:,Revolved section,Removed section,Broken-out section,Full section, ,B," No answer description available for this question. <a href=""discussion-117"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,By using a ________ section of a cylindrical mechanical part the drafter should be able to show only one view of the part.,half,whole,revolved,broken out, ,C," No answer description available for this question. <a href=""discussion-621"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,"In the section view, the areas that would have been in actual contact with the cutting plane are shown with:",A cutting plane line,Section lining,Visible lines,Lines and arrows, ,B," No answer description available for this question. <a href=""discussion-113"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,These breaks are used to shorten the view of an object:,Section breaks,Aligned breaks,Conventional breaks,Full breaks, ,C," No answer description available for this question. <a href=""discussion-119"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,In architectural drawing ________ are often used to illustrate and detail structural components.,Foundation beam detail sections,Wall sections,Building sections,All of the above, ,D," No answer description available for this question. <a href=""discussion-617"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,When only a small section of an interior area needs to be revealed the drafter can use a ________ section.,half,quarter,full,broken out, ,D," No answer description available for this question. <a href=""discussion-616"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,"In this type of section, one quarter of the object is removed:",Revolved section,Removed section,Quarter section,Half section, ,D," No answer description available for this question. <a href=""discussion-115"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,A ________ section allows the drafter to create a Cutting Plane line which is not in a straight line across the part.,Offset,half,whole,broken out, ,A," No answer description available for this question. <a href=""discussion-622"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,The ________ is a standard element of a section view in a technical drawing.,Cutting Plane line,Section lines,Material hatch pattern,All of the above, ,D," No answer description available for this question. <a href=""discussion-614"">Let us discuss</a>. "
Technical Drawing,Sectional Views, ,When creating a Cutting Plane line with AutoCAD it is customary to use a ________ to create the line.,center line,polyline,dashed line,hatch line, ,B," No answer description available for this question. <a href=""discussion-619"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,"If a designer is developing a plan for a project in which the entire part is made out of Â¾"" thick plywood and he only wants to use one view, he should use the ________ view.",front,top,right,back, ,A," No answer description available for this question. <a href=""discussion-495"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,In developing a multi-view drawing the drafter can use a ________ line to help locate the top and right side views.,object,hidden,dimension,miter, ,D," No answer description available for this question. <a href=""discussion-500"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,The type of line that projects from an object for the express purpose of locating a dimension is a ________ line.,visible,hidden,extension,dimension, ,C," No answer description available for this question. <a href=""discussion-497"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,Center lines are used to locate or represent the centers of ________.,arcs,circles,hidden round features,all of the above, ,D," No answer description available for this question. <a href=""discussion-496"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,"Architectural drawings used to construct a house are often plotted with a scale of Â¼"" = 1'-0"". What scale is this?",Quarter,Half,Full,Double, ,A," No answer description available for this question. <a href=""discussion-502"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,"In multi-view drawing it is common practice to include three views, the front, the top and the right side. If no dimensions are required on the right side view the drafter can ________.",leave the view as is,eliminate the view,use the left view instead,none of the above, ,B," No answer description available for this question. <a href=""discussion-494"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,The AutoCAD command used to combine two or more primitive shapes into a single complex 3-dimensional model is ________.,add,union,attach,form, ,B," No answer description available for this question. <a href=""discussion-499"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,"Most architectural drawings produced for field use by building contractors are printed on architectural ""D"" size paper which measures ________.","24"" X 36""","18"" X 24""","11"" X 17""","34"" X 22""", ,A," No answer description available for this question. <a href=""discussion-503"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,Geometric primitives include shapes such as ________.,boxes,cylinders,wedges,all of the above, ,D," No answer description available for this question. <a href=""discussion-498"">Let us discuss</a>. "
Technical Drawing,Multiview Drawing, ,A full scale technical drawing will have a scale factor of ________.,1:01,1:02,2:01,1:04, ,A," No answer description available for this question. <a href=""discussion-501"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,The condition of a part when it contains the least amount of material is referred to as ________.,smallest,LMC,MMC,actual size, ,B," No answer description available for this question. <a href=""discussion-556"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,This is used to indicate that a surface is to be machined:,Finish mark,Machining mark,Roughness indicator,Coordinate mark, ,A," No answer description available for this question. <a href=""discussion-192"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,The ________ tool on the Dimension tool bar places the length of an arch on a drawing.,Arc Radius,Arc Length,Radius,Diameter, ,B," No answer description available for this question. <a href=""discussion-562"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,How can the drafter prevent AutoCAD from placing or stacking another center mark on a circle when adding a diameter dimension to it?,Explode the dimension and then erase the center mark.,Use the Properties dialog box to turn off the center mark of the dimension.,It can't be done.,Use the trim tool to take away the stacked center mark., ,B," No answer description available for this question. <a href=""discussion-558"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,"In this type of dimensioning, allowance must be made for bends:",Angular,Tolerance,Datum,Sheet metal, ,D," No answer description available for this question. <a href=""discussion-193"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,One way to evenly space dimensions on a drawing is to use the ________.,Dimension Space tool,Linear tool,Continue tool,Baseline tool, ,A," No answer description available for this question. <a href=""discussion-560"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,The ________ tool on the Dimension tool bar will place several dimensions at one time by using a selection box placed over several part features.,Linear,Continue,Baseline,Quick Dimension, ,D," No answer description available for this question. <a href=""discussion-561"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,A circular arc is dimensioned in the view where you see its true shape by giving the value for its:,Diameter,Arc length,Radius,Chord length, ,C," No answer description available for this question. <a href=""discussion-191"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,This is the total amount that the feature on the actual part is allowed to vary from what is specified by the dimension:,Allowance,Tolerance,Specification,Difference, ,B," No answer description available for this question. <a href=""discussion-187"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,The ________ dimension tool will place the length of an angled line.,Aligned,Angle,Linear,Radial, ,A," No answer description available for this question. <a href=""discussion-563"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,Placement of dimensions on a drawing is controlled by ________.,ANSI,The design engineer,Corporate drafting standards,All of the above, ,D," No answer description available for this question. <a href=""discussion-557"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,Baseline dimensions are referenced from a common geometric feature known as a ________.,edge,corner,datum,point of reference, ,C," No answer description available for this question. <a href=""discussion-554"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,Given a situation in which the drafter has crossed extension lines in a drawing what can be done to clean up the point of crossing?,Use the Modify tool to clean up the extension lines.,Use the Tolerance tool to clean up the extension lines.,Use the Break tool to clean up the extension lines.,Use the stretch tool to clean up the extension lines., ,A," No answer description available for this question. <a href=""discussion-559"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,This is a thin solid line directing attention to a note or dimension and starting with an arrowhead or dot:,Dimension line,Extension line,Leader,Specification, ,C," No answer description available for this question. <a href=""discussion-189"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,The maximum and minimum sizes of a feature are identified by a ________ tolerance.,Limits,GD&T,reference,allowance, ,A," No answer description available for this question. <a href=""discussion-555"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,"This is a line terminated by arrowheads, indicating the direction and extent of a dimension:",Dimension line,Extension line,Arrowhead line,Centerline, ,A," No answer description available for this question. <a href=""discussion-188"">Let us discuss</a>. "
Technical Drawing,Dimensioning, ,"In U.S. structural and architectural drafting, all dimensions of this length are usually expressed in feet and inches:",One inch or over,One foot or over,One yard or over,One rod or over, ,B," No answer description available for this question. <a href=""discussion-190"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,"When lines intersect on a drawing at angles of this many degrees, it is customary not to dimension the angle:",360,180,90,45, ,C," No answer description available for this question. <a href=""discussion-213"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,This is the term for the range of tightness or looseness resulting from the allowances and tolerances in mating parts:,Limits,Fit,Specifications,Allowance, ,B," No answer description available for this question. <a href=""discussion-214"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,This is the measured size of a finished part:,Actual size,Dimensioned size,Production size,Basic size, ,A," No answer description available for this question. <a href=""discussion-216"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,This means that a feature of a finished product contains the maximum amount of material permitted by the toleranced dimensions for that feature:,Maximum material condition,Machined material condition,Maximum machined indication,Machine mark indication, ,A," No answer description available for this question. <a href=""discussion-217"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,This is the theoretically exact size from which limits of size are determined:,Actual Size,Dimensioned size,Production size,Basic size, ,D," No answer description available for this question. <a href=""discussion-215"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,Acceptable parts must not extend beyond this:,Boundary limits,Hole limits,Specification,Tolerances, ,A," No answer description available for this question. <a href=""discussion-212"">Let us discuss</a>. "
Technical Drawing,Tolerancing, ,This practice considers an individual part's dimensions and tolerances and that part's relation to its related parts:,Applying allowances,Geometric dimensioning and tolerancing,Creating datum references,Angular dimensioning tolerances, ,B," No answer description available for this question. <a href=""discussion-218"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,In these drawings it is necessary to show cut surfaces and distinguish between adjacent parts:,Auxiliary drawings,Assembly sections,3D assemblies,Parts lists, ,B," No answer description available for this question. <a href=""discussion-261"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,These drawings are given to contractors to perform work or manufacture individual parts:,Assembly details,3D drawings,Working drawings,Skeleton assemblies, ,C," No answer description available for this question. <a href=""discussion-260"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,"In working drawings, these show all necessary information not given directly on the drawing with its dimensions and notes:",Document strips,Portable documents,Formatting forms,Title and record strips, ,D," No answer description available for this question. <a href=""discussion-262"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,"This should show what changes were made, when, and by whom:",Portable document,Record of revisions,Title form,Revision drawings, ,B," No answer description available for this question. <a href=""discussion-264"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,An accurate record of changes made to released drawings is tracked via this:,A revision block,The basic title form,Working drawings,Portable documents, ,A," No answer description available for this question. <a href=""discussion-263"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,"In an assembly section, these parts should have their section lines left out or shown solid black:",Bolts,All fasteners,Thin parts,Rivets, ,C," No answer description available for this question. <a href=""discussion-265"">Let us discuss</a>. "
Technical Drawing,Working Drawings, ,These are groups of components of a larger machine:,Subassemblies,External assemblies,Component assemblies,Major assemblies, ,A," No answer description available for this question. <a href=""discussion-259"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,"In isometric projection, all distances are approximately this percentage of their true size:",120 percent,80 percent,50 percent,20 percent, ,B," No answer description available for this question. <a href=""discussion-305"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,Angles project true size only when the plane containing the angle and plane of projection are this:,Adjacent,Aligned,Perpendicular,Parallel, ,D," No answer description available for this question. <a href=""discussion-303"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,"In this type of projection, each of the axes has different ratios of foreshortening:",Isometric,Dimetric,Trimetric,Parallel, ,C," No answer description available for this question. <a href=""discussion-304"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,Lines of an isometric drawing that are not parallel to the isometric axes are called this:,Trimetric lines,Nonisometric lines,Multiview lines,Dimetric lines, ,B," No answer description available for this question. <a href=""discussion-302"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,This type of axonometric drawing has equal foreshortening along two axis directions and a different amount on the third axis:,Dimetric,Multiview,Isometric,Trimetric, ,A," No answer description available for this question. <a href=""discussion-300"">Let us discuss</a>. "
Technical Drawing,Axonometric Projection, ,The edges of a cube in isometric projection make angles of this many degrees with each other:,30,60,90,120, ,D," No answer description available for this question. <a href=""discussion-301"">Let us discuss</a>. "
Technical Drawing,Perspective Drawings, ,Two-point perspective is also known as:,Two-view perspective,Regular perspective,Parallel perspective,Angular perspective, ,D," No answer description available for this question. <a href=""discussion-336"">Let us discuss</a>. "
Technical Drawing,Perspective Drawings, ,This is the intersection of the ground plane with the picture plane:,Vanishing point,Ground line,Station point,Horizon, ,B," No answer description available for this question. <a href=""discussion-333"">Let us discuss</a>. "
Technical Drawing,Perspective Drawings, ,In perspective drawings this is placed between the observer and the object:,Vanishing point / horizon,Station point,Ground line,Plane of projection / picture plane, ,D," No answer description available for this question. <a href=""discussion-332"">Let us discuss</a>. "
Technical Drawing,Perspective Drawings, ,"When positioning this feature of perspective projection, the centerline of the cone of visual rays should be directed toward the approximate center of the object:",Station point,Vanishing point,Horizon,Ground line, ,A," No answer description available for this question. <a href=""discussion-334"">Let us discuss</a>. "
Technical Drawing,Perspective Drawings, ,Perspective drawings are classified according to their number of these features:,Station points,Picture planes,Vanishing points,Ground lines, ,C," No answer description available for this question. <a href=""discussion-335"">Let us discuss</a>. "
Technical Drawing,Electronic Diagrams, ,"On typical electronic diagrams, these items need not be shown unless they are needed for clarification:",Transmission diagrams,Operating relays,Closed relays,Terminal circles, ,D," No answer description available for this question. <a href=""discussion-376"">Let us discuss</a>. "
Technical Drawing,Electronic Diagrams, ,Schematic and single-line diagrams should be arranged so that signal or transmission path from input to output proceeds in this fashion:,Right to left and top to bottom,Right to left and bottom to top,Left to right and top to bottom,Left to right and bottom to top, ,C," No answer description available for this question. <a href=""discussion-375"">Let us discuss</a>. "
Technical Drawing,Electronic Diagrams, ,Switches and relays should be shown in this position with no operating force or applied energy:,Normal,Closed,Offset,Application, ,A," No answer description available for this question. <a href=""discussion-374"">Let us discuss</a>. "
Technical Drawing,Electronic Diagrams, ,"These items typically are not used in new designs, but are still common in high-power amplifiers:",Amplifier tubes,Electron tubes,Signal relays,Switches, ,B," No answer description available for this question. <a href=""discussion-377"">Let us discuss</a>. "
Technical Drawing,Electronic Diagrams, ,This type of circuit is a semiconductor wafer or chip:,Integrated circuit,Transmission circuit,Plotted circuit,Conducted circuit, ,A," No answer description available for this question. <a href=""discussion-378"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,"These maps are used in planning installations of trees, shrubbery, drives, and other garden features:",Landscape maps,Engineering maps,Topographic maps,Cadastral maps, ,A," No answer description available for this question. <a href=""discussion-416"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,These are special installations of stone or concrete marking the locations of points accurately determined by precise surveying:,Topographic marks,Hatchures,Monuments,Pillars, ,C," No answer description available for this question. <a href=""discussion-414"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,"These are vertical distances above a common datum, reference plane, or point:",Plats,Elevations,Traverse,Profiles, ,B," No answer description available for this question. <a href=""discussion-412"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,"These are lines drawn on a map to locate, in the plan view, points of equal ground elevation:",Contours,Elevations,Profiles,Hatchures, ,A," No answer description available for this question. <a href=""discussion-413"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,These maps are used to plan construction projects that locate construction features so they fit the topography of the area:,Subdivision plats,Landscape maps,Structural topography maps,Structure location plans, ,D," No answer description available for this question. <a href=""discussion-417"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,"This type of drawing is created to calculate areas, locate property lines, and locate building projects and facilities:",Traverse,Contour,City map,Plat, ,D," No answer description available for this question. <a href=""discussion-411"">Let us discuss</a>. "
Technical Drawing,Landform Drawings, ,These are accurately drawn maps of cities and towns showing property lines and other features that control property ownership:,Monument maps,Cadastral maps,City maps,Topographic maps, ,B," No answer description available for this question. <a href=""discussion-415"">Let us discuss</a>. "
Technical Drawing,Welding Representation, ,A projection weld is a type of:,Resistance weld,Arc weld,Gas weld,Fillet weld, ,A," No answer description available for this question. <a href=""discussion-458"">Let us discuss</a>. "
Technical Drawing,Welding Representation, ,These weld symbols have no arrow-side or other-side significance:,Projection or seam weld,Back or backing weld,Surface or groove weld,Flash and upset weld, ,D," No answer description available for this question. <a href=""discussion-457"">Let us discuss</a>. "
Technical Drawing,Welding Representation, ,A back or backing weld is a type of:,Groove weld,Resistance weld,Arc and gas weld,Upset weld, ,C," No answer description available for this question. <a href=""discussion-459"">Let us discuss</a>. "
Technical Drawing,Welding Representation, ,Welding drawings are a special type of this kind of drawing:,Symbol,Perspective,Assembly,Isometric, ,C," No answer description available for this question. <a href=""discussion-454"">Let us discuss</a>. "
Technical Drawing,Welding Representation, ,Which of the following is one of the basic types of welded joints:,T-joint,Rear joint,Angle joint,Groove joint, ,A," No answer description available for this question. <a href=""discussion-455"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,Isometric drawings are often used by ________ to help illustrate complex designs.,mechanical engineers,piping drafters,aerospace engineers,all of the above, ,D," No answer description available for this question. <a href=""discussion-594"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,"In order to create an isometric circle to represent a hole through the top surface of a box, the drafter must insure that the correct isoplane has been selected by scrolling through the isoplanes using the ________ key.",F1,F3,F5,F8, ,C," No answer description available for this question. <a href=""discussion-601"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,A fillet is a rounded surface on the ________ corner of a part.,Inside,outside,radial,isoplane, ,A," No answer description available for this question. <a href=""discussion-602"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,Before starting an isometric drawing in AutoCAD the drafter needs to ________.,set the grid to isometric,set the current layer to Defpoints,turn Object Snap off,turn Ortho off, ,A," No answer description available for this question. <a href=""discussion-597"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,A round is a rounded surface on the ________ corner of a part.,inside,outside,radial,isoplane, ,B," No answer description available for this question. <a href=""discussion-603"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,Architectural drafters generally prefer to use ________ drawings to help illustrate 3-dimensional views of a structure.,isometric,perspective,orthographic,auxiliary, ,B," No answer description available for this question. <a href=""discussion-595"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,The bounding box method for setting up an isometric drawing helps the drafter ________.,confine the isometric drawing to its maximum size,figure what lines are to be illustrated vertical and horizontal,position the isometric drawing in paper space,none of the above, ,A," No answer description available for this question. <a href=""discussion-596"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,The Offset tool should only be used for placing ________ in an isometric drawing.,circles,horizontal lines,vertical lines,none of the above, ,C," No answer description available for this question. <a href=""discussion-598"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,When creating an isometric drawing in AutoCAD the drafter can utilize the Dynamic Input and Polar Coordinate system to place both vertical and horizontal lines. A line created from one point 3 inches at 180 degrees would be a ________ line.,horizontal,vertical,inclined,none of the above, ,B," No answer description available for this question. <a href=""discussion-599"">Let us discuss</a>. "
Technical Drawing,Isometric Drawings, ,AutoCAD refers to isometric ellipses as ________.,Ellipses,isoellipses,isocircles,circles, ,C," No answer description available for this question. <a href=""discussion-600"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,The typical parts list should include the ________.,part number,manufacturing material,number of parts needed,all of the above, ,D," No answer description available for this question. <a href=""discussion-681"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,A typical set of mechanical working drawings includes ________.,exploded assembly,part details,parts list,all of the above, ,D," No answer description available for this question. <a href=""discussion-674"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,The title block used on working drawings should include the ________.,sheet number,line type,layer set,all of the above, ,A," No answer description available for this question. <a href=""discussion-678"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,One critical issue drafters need to pay close attention to is the ________.,size of the sheet,designer's intent,scale factor,none of the above, ,B," No answer description available for this question. <a href=""discussion-680"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,In the mechanical design process the first step is to ________.,brainstorm solutions,prepare rough sketches,prepare a budget,identify the problem, ,D," No answer description available for this question. <a href=""discussion-675"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,The text used on a typical detail sheet should be ________.,placed horizontally,in bold text,in an architectural text style,none of the above, ,A," No answer description available for this question. <a href=""discussion-683"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,In an exploded assembly drawing it is customary for the drafter to use a ________ line to illustrate how parts fit together.,Phantom,hidden,dashed,center, ,A," No answer description available for this question. <a href=""discussion-679"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,It is customary for the first sheet of a working drawing set to include ________.,a parts list,exploded assembly,assembled assembly,all of the above, ,D," No answer description available for this question. <a href=""discussion-677"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,In order to create an accurate assembly drawing the drafter should create the ________ drawings first.,Detail,title block,parts list,isometric, ,A," No answer description available for this question. <a href=""discussion-676"">Let us discuss</a>. "
Technical Drawing,Mechanical Working Drawings, ,The thread note for a typical bolt will include the ________.,major diameter of the thread,material,center line,offset distance, ,A," No answer description available for this question. <a href=""discussion-682"">Let us discuss</a>. "
