Topic,Question,Option 1,Option 2,Option 3,Option 4,Answer
percentage,"
13.  यदि एक संख्या X, दूसरी संख्या y से 10% कम है | तथा y, 125 से 10%
ज्यादा है तब X का मान ज्ञात
कीजिये |
",    123,    122,    122.25,    123.75,D
percentage,"
14.  एक फल विक्रता के पास कुछ संतरे थे | उसने 40% संतरे
बेच दिए तथा उसके पास 420 संतरे बचे | उसके पास कुल कितने संतरे थे |
",    420,    700,    220,    400,B
percentage,"
15.  तीन उम्मीदवार एक चुनाव लड़ते है तथा क्रमश: 1136,
7636 तथा 11628 वोट प्राप्त करते है | जीतने वाले उम्मीदवार ने कितने प्रतिशत वोट
प्राप्त किए?
",    55%,    56%,    57%,    58%,C
percentage,"
16.  रमन की सैलरी 50% कम हो गई | इसके बाद फिर 50% बढ़ गई
| उसे कितने प्रतिशत का नुकसान हुआ?
",    25%,    30%,    40%,    15%,A
percentage,"
17.  यदि किसी संख्या का 20%, 120 है तो उसी संख्या का
120% क्या होगा?
",    20,    120,    360,    720,D
percentage,"
18.  यदि किसी संख्या के 75% में 75 जोड़ा जाये तो वही संख्या प्राप्त हो जाती है | वह संख्या है -
",    50,    60,    300,    400,C
percentage,"
19.  दो संख्याओं का अन्तर, बड़ी संख्या का 20% है | यदि
छोटी संख्या 20 है तो बड़ी संख्या क्या होगी?
",    25,    45,    50,    80,A
percentage,"
20.  एक शहर की जनसंख्या 10 साल में 175000 से बढकर 262500
हो गयी | जनसंख्या वृद्धि का प्रतिशत औसत है - 
",    4.37%,    5%,    6%,    8.75%,B
profit and loss,"
1.  एक
आदमी 250 रू०में एक वस्तु खरीदता हैं तथा 300 रू० में इसे बेच देता हैं | व्यक्ति का लाभ प्रतिशत
ज्ञात कीजिये |
",    10%,    20%,    15%,    5%,B
profit and loss,"
2.  यदि एक
साइकिल 2500 रू० में खरीदी जाती हैं तथा 2200 रू० में बेची जाती हैं तो हानि का प्रतिशत ज्ञात
कीजिये |
",    12%,    10%,    15%,    8%,A
profit and loss,"
3.  एक व्यक्ति को एक घड़ी 1610 रु० में
बेचकर 8% की हानि होती हैं | 10% का लाभ
प्राप्त करने के लिए उस व्यक्ति को वह घड़ी कितने रूपये में बेचनी चाहिये?
",    1750 रू०,    1800 रू०,    1925 रू०,    1900 रू०,B
profit and loss,"
4.  मोहन 5500 रू० में एक पुराना स्कूटर खरीदता हैं तथा इसकी
मरम्मत पर 1200 रू०खर्च
करता हैं | यदि वह स्कूटर को 7200 रू में बेचता हैं तो उसका लाभ प्रतिशत क्या हैं?
",    8%,    10%,    6%,    7.5%,D
profit and loss,"
5.  मोहन 5500 रू० में एक पुराना स्कूटर खरीदता हैं तथा इसकी
मरम्मत पर 1200 रू० खर्च करता हैं | यदि वह स्कूटर को 5200 रू०में बेचता हैंतो उसकी हानि का प्रतिशत क्या हैं?
",    22%,    20%,    25%,    18%,A
profit and loss,"
6.  यदि किसी वस्तु का क्रय मूल्य उसके विक्रय मूल्य का 90 % हैं तब
लाभ का प्रतिशत क्या हैं?
",    5.25%,    4.44%,    3.86%,    11.11%,D
profit and loss,"
7.  एक विक्रेता 15 रू०
में 10 सेब के
हिसाब से कुछ सेब खरीदता हैं तथा 10 रू० में 8 सेब के हिसाब से बेचता हैं | उसका लाभ या हानि प्रतिशत
ज्ञात करो |
",    16.67%,    15%,    20%,    12.5%,A
profit and loss,"
8.  एक दुकानदार 22 रू०
प्रति किलो की दर पर 50 कि०ग्रा० चावल खरीदता हैं 50 कि०ग्रा० चावल
खरीदता हैं तथा इन्हें 28 रू० प्रति किलो की दर पर खरीदे गये चावलों के साथ मिला
देता हैं| वह किस दर पर मिश्रित किये हुए चावलों को बेचे कि उसे 20 % का लाभ
प्राप्त हो?
",    30.8 रू०/कि०ग्रा०,    32रू०/ कि०ग्रा०,    34 रू०/कि०ग्रा०,    35 रू०/कि०ग्रा०,A
profit and loss,"
9.  मोनिका
विक्रय मूल्य के 9/10 वे भाग में एक प्रेशर कूकर खरीदती हैं तथा
विक्रय मूल्य से 8 प्रतिशत ज्यादा मूल्य पर इसे बेच देती हैं उसका लाभ
प्रतिशत क्या है?
",    15%,    10%,    20%,    18%,C
profit and loss,"
10.  एक विक्रेता 15 % की
हानि पर एक वस्तु बेचता हैं| यदि विक्रय मूल्य 200 रू०
बढ़ा दिया जाये तो 5 % का लाभ होता हैं वस्तु का क्रय मूल्य क्या था?
",    1000 रू०,    1100 रू०,    900 रू०,    1200 रू०,A
profit and loss,"
11.  एक व्यक्ति एक घोड़ा तथा गाड़ी 3000 रू०
में खरीदता हैं | वह घोडे को 20 % के लाभ से तथा गाड़ी को 10 % की
हानि से बेचता हैं तथा कुल 2 प्राप्त % का लाभ
प्राप्त करता हैं | घोडे का क्रय मूल्य ज्ञात करो |
",    1500 रू०,    1200 रू०,    1000 रू०,    2000 रू०,B
profit and loss,"
12.  एक विक्रेता एक थोक
व्यापारी से 70 पेन्सिलो के मूल्य में 80 पेन्सिल खरीदता है यदि वह 5 प्रतिशत की छूट पर पेन्सिल बेचता है तो उसका लाभ प्रतिशत क्या होगा?
",    20%,    23%,    250%,    18%,B
profit and loss,"
13.  एक वस्तु पर उसके क्रय
मूल्य का कितना ज्यादा प्रतिशत मूल्य अंकित किया जाना चाहिए कि उस पर 5% की छूट देने पर 33% का लाभ प्राप्त किया जा सके?
",    40%,    45%,    30%,    35%,A
profit and loss,"
14.  यदि किसी वस्तु को 240 रु०
में बेचने पर 20% की हानि हो तो वस्तु का क्रय मूल्य क्या होगा?
",    280 रु०,    350 रु०,    300 रु०,    320 रु०,C
profit and loss,"
15.  एक विक्रेता अपने सभी
वस्तुओं पर उनके क्रय मूल्य से 30 प्रतिशत ज्यादा मूल्य अंकित करता है तथा सोचता
है कि वह अंकित मूल्य पर 15% की छुट देकर 15% का लाभ प्राप्त करेगा| उसका वास्तविक
लाभ क्या है?
",    8%,    8.5%,    10.5%,    12%,C
profit and loss,"
16.  एक व्यक्ति 2000 रु० में
एक साईकिल खरीदता है तथा 20% की हानि पर इसे बेच देता है साईकिल का विक्रय मूल्य
क्या है?
",    1600 रु०,    1500 रु०,    1700 रु०,    1200 रु०,A
profit and loss,"
17.  एक वस्तु का विक्रय मूल्य
उसके विक्रय कर सहित 750 रु० है विक्रय कर की दर 25% यदि विक्रेता ने 50% का लाभ
प्राप्त किया तो वस्तु का क्रय मूल्य क्या होगा?
",    500 रु०,    600 रु०,    400 रु०,    450 रु०,C
profit and loss,"
18.  यदि एक प्लाँट 22500 रु०
में बेचा जाता है तो इसके स्वामी को 20% की हानि होती है| 20% का लाभ प्राप्त करने
के लिए प्लाँट को किस मूल्य में बेचा जाना चाहिए?
",    34000 रु०,    33750 रु०,    35000 रु०,    32500 रु०,B
profit and loss,"
19.  एक स्टोर में वस्तुओं के
क्रय मूल्य पर लाभ 320% है यदि क्रय मूल्य में 25% की वृद्धि होती है तथा विक्रय
मूल्य समान रहता है तो विक्रय मूल्य पर लाभ कितने प्रतिशत है?
",    30%,    70%,    100%,    250%,B
profit and loss,"
20.  एक वस्तु को 832 रु० में
बेचने पर प्राप्त होने वाला लाभ उसी वस्तु को 4480 रु० में बेचने पर होने वाली
हानि के बराबर है | 50% का लाभ प्राप्त करने के लिए वस्तु को किस मूल्य पर बेचना
चाहिए?
",    920 रु०,    960 रु०,    1060 रु०,    1200 रु०,B
average,"
1.  संख्या 35 से 60 के मध्य सभी अविभाजित संख्याओ का औसत ज्ञात कीजिये|
",    40,    50,    46.7,    45,C
average,"
2.  प्रथम 30 प्राकृतिक संख्याओं का औसत ज्ञात कीजिये|
",    20,    15.5,    25,    18,B
average,"
3.  संख्या 5 के प्रथम 4 गुणको का औसत ज्ञात कीजिये|
",    11.5,    11,    12,    12.5,D
average,"
4.  संख्या 60 के बाद प्रथम 5 अविभाजित संख्याओं का औसत ज्ञात करो|
",    72,    70.20,    71.70,    72.24,B
average,"
5.  संख्या 6 से 34 के बीच की 5 से विभाजित होने वाली सभी संख्याओं का औसत ज्ञात कीजिये|
",    18,    20,    24,    30,B
average,"
6.  3, 5, 6 तथा X का औसत 6 है, तथा 4, 7, 9, X तथा Y का औसत 7 है, Y का मान कया है?
",    4,    5,    3,    6,B
average,"
7.  यदि चार संख्याओं a, a+4, a+5 तथा a+7 का औसत 8 है तब अंतिम 2 संख्याओं का औसत क्या होगा ?
",    8,    10,    12,    15,B
average,"
8.  39 छात्रों की एक कक्षा की औसत उम्र 15 वर्ष है, यदि इसमें अध्यापक की उम्र और जोड़ दी जाती है तो औसत उम्र 3 महीने बढ़ जाती है, अध्यापक की उम्र ज्ञात करो|
",    20 वर्ष ,    22 वर्ष ,    25 वर्ष ,    30 वर्ष ,C
average,"
9.  एक बल्लेबाज अपनी 17वीं पारी में 87 रन बनता है| जिससे उसके औसत में 3 की वृद्धि हो जाती है, 17वीं पारी के बाद उसका औसत ज्ञात कीजिये|
",    35,    38,    39,    40,C
average,"
10.  A, B तथा C का औसत वजन 45 किग्रा है, यदि A तथा B का औसत वजन 40 किग्रा है, तथा B तथा C का औसत वजन 43 किग्रा है तब B का वजन कया होगा ?
",    17 किग्रा ,    20 किग्रा ,    26 किग्रा ,    31 किग्रा ,D
average,"
11.  एक पति और उसकी पत्नी की उनकी शादी के समय औसत आयु 26 वर्ष थी | 6 वर्ष के पश्चात् उनके साथ 2 वर्ष का एक बच्चा भी है | वर्तमान में पूरे परिवार की औसत आयु कितनी है?
",    25 वर्ष ,    22 वर्ष ,    24 वर्ष ,    28 वर्ष ,B
average,"
12.  एक क्रिकेट मैच में पहले 12 ओवर में रन रेट 4  था | बचे हुए 38 ओवर में 238 रनों के लक्ष्य तक पहुँचने के लिए कितना रन रेट होना चाहिए?
",    5,    6,    4.5,    5.5,A
average,"
13.  एक कक्षा में 20 छात्रों का औसत वजन 44  कि० ग्रा० है तथा बाकी के 10 छात्रों का औसत वजन 38 कि०ग्रा० है | कक्षा के सभी छात्रों का औसत वजन ज्ञात कीजिए |
",    39 कि०ग्रा० ,    41 कि०ग्रा० ,    429 कि०ग्रा० ,    43 कि०ग्रा० ,C
average,"
14.  एक लाइब्रेरी में रविवार के दिन आने वाले लोगो का औसत 440 है तथा बाकी दिनों में आने वाले लोगो का औसत 260 है | रविवार में शुरू होने वाले 30 दिनों के एक महीने में प्रतिदिन आने वाले लोगों का औसत है -
",    300,    310,    290,    270,C
average,"
15.  30, 35 तथा 40  छात्रों की तीन कक्षाओं का औसत क्रमश : 65, 70, तथा 75 है सभी छात्रों का औसत ज्ञात कीजिए |
",    34.5,    35.24,    36,    34,B
average,"
16.  5 साल पहले एक पति, पत्नी और उनके बच्चे की औसत आयु 25 वर्ष थी तथा 4 साल पहले पत्नी और बच्चे की औसत आयु 18  वर्ष थी | वर्तमान में पति की आयु है - 
",    45 वर्ष,    46 वर्ष,    50 वर्ष,    52 वर्ष,B
average,"
17.  श्याम ने अंग्रेजी, हिंदी, केमिस्ट्री, इतिहास तथा गणित में क्रमशः 60, 65, 70, 72 तथा 78 अंक प्राप्त किये | सभी विषयों में श्याम द्वारा प्राप्त किये गये अंको का औसत क्या है?
",    69,    65,    68,    70,A
average,"
18.  20 छात्रों की एक कक्षा का औसत वजन 40  कि०ग्रा० है| यदि इसमे अध्यापक का वजन भी जोड़ा जाये तो औसत 2 कि०ग्रा० बढ़ जाता है | अध्यापक का वजन है - 
",    80,    85,    82,    75,C
average,"
19.  6 लोगो का औसत वजन 2 कि०ग्रा० बढ़ जाता है | यदि उनमें से एक व्यक्ति के स्थान पर, जिसका वजन 55 कि०ग्रा० है | कोई दूसरा व्यक्ति आ जाता है | नये व्यक्ति का वजन कितना है |
",    67 कि०ग्रा० ,    65 कि०ग्रा० ,    60 कि०ग्रा० ,    62 कि०ग्रा० ,A
average,"
20.  5 वर्ष पहले A तथा B की औसत आयु 25 वर्ष थी यदि उनमे C भी शामिल हो जाता है तो औसत आयु 28 वर्ष हो जाती है | C की आयु कितनी है?
",    20 वर्ष  ,    25 वर्ष  ,    24 वर्ष  ,    30 वर्ष  ,C
boats & streams,"
1.  एक आदमी नदी की विपरीत दिशा में 8 कि०मी०/घ० की गति से तैर सकता है तथा धारा की दिशा में 12कि०मी०/घ० की गति से तैर सकता है | शांत पानी में व्यक्ति की गति ज्ञात कीजिये |
",    8 कि०मी०/घ०,    10 कि०मी०/घ०,    12 कि०मी०/घ०,    15 कि०मी०/घ०,B
boats & streams,"
2.  एक आदमी नदी की धारा की विपरीत दिशा में 6 कि०मी०/घ० की गति से तथा धारा की दिशा में 10 कि०मी०/घ० की गति से तैर सकता है | धारा की गति ज्ञात कीजिये |
",    3 कि०मी०/घ०,    2 कि०मी०/घ०,    4 कि०मी०/घ०,    5 कि०मी०/घ०,B
boats & streams,"
3.  एक नाव शांत पानी में 15 कि०मी०/घ० की गति से चल सकती है | यदि धारा की गति 5 कि०मी०/घ० है, तब धारा की दिशा में 60 कि०मी० जाने में नव द्वारा लिया गया समय ज्ञात कीजिये |
",    4 घंटे ,    5 घंटे ,    3 घंटे ,    6 घंटे ,C
boats & streams,"
4.  धारा के प्रवाह के साथ एक व्यक्ति की चाल 10 कि०मी०/घ० है तथा धारा की चाल 3 कि०मी०/घ० है | धारा के प्रवाह के विपरीत व्यक्ति की चाल है -
",    3 कि०मी०/घ०,    4 कि०मी०/घ०,    5 कि०मी०/घ०,    2 कि०मी०/घ०,B
boats & streams,"
5.  शांत पानी में नव की चाल 12 कि०मी०/घ० है तथा धारा की चाल 4 कि०मी०/घ० है | धारा की दिशा में 15 मिनट में चली गयी दूरी है 
",    2 कि०मी०,    3 कि०मी०,    4 कि०मी०,    5 कि०मी०,C
boats & streams,"
6.  एक व्यक्ति की चाल धारा की दिशा में चाल 25 कि०मी०/घ० है तथा धारा की
चाल 5 कि०मी०/घ० है | धारा के विपरीत दिशा में व्यक्ति की
चाल है:-
",    15 कि०मी०/घ०,    10 कि०मी०/घ०,    20 कि०मी०/घ०,    5 कि०मी०/घ०,A
boats & streams,"
7.  एक व्यक्ति की नदी की धारा की दिशा में चाल 17 कि०मी०/घ० है | तथा धारा
की चाल 3 कि०मी०/घ० है | धारा के विपरीत दिशा में व्यक्ति की
चाल है -
",    5 कि०मी०/घ०,    8 कि०मी०/घ०,    11 कि०मी०/घ०,    15 कि०मी०/घ०,C
boats & streams,"
8.  एक नाव शांत जल में 17 कि०मी०/घ० की चाल से चल
सकती है | यदि धारा की चाल 5 कि०मी०/घ० है तो नाव दुवारा धारा की दिशा में 110 कि०मी०/घ०की दूरी तय करने
में लगा समय ज्ञात कीजिए |
",    3 घ०,    5 घ०,    7 घ०,    6 घ०,B
boats & streams,"
9.  एक नाव शांत जल में 21 कि०मी०/घ० की चाल से चलती है | यदि धारा की चाल 3 कि०मी०/घ० है, तो नाव द्वारा धारा की दिशा में 72 कि०मी०/घ० की दूरी तय करने में लगा समय ज्ञात कीजिए
|
",    2 घ०,    4 घ०,    3 घ०,    5 घ०,C
